UserID,Month,Balance,Income,Expense,Budget,Savings
1,1,12000.00,403400.00,300540.00,3500.00,500.00
1,2,10043.00,4100.00,3100.00,36050.00,63400.00
1,3,14000.00,3200.00,32070.00,3700.00,700.00
1,4,15000.00,4300.03,3300.00,3800.00,800.00
1,5,16000.00,4404540.00,3400.00,3900.00,900.00
1,6,17000.00,4500.00,350340.00,40034.00,1000.00
1,7,18400.00,4600.00,3600.00,4100.00,1100.00
1,8,19000.00,4734500.00,36700.00,4200.00,1200.00
1,9,20050.00,4800.00,3800.00,4300.00,1300.060
1,10,2100.00,49600.00,3900.00,4400.00,1400.00
1,11,22000.00,435000.00,4000.00,450340.00,1500.00
1,12,2300.00,57100.00,4100.00,4600.00,1600.00
